ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT004,vanas majas,,vana-s	maja-s,old-INE	house-INE,in old houses,
UT005,toreda sõbrata,,toreda	sõbra-ta,nice	friend-ABL,without a nice friend,
UT007,Ta küsis ema käest raha,,Ta	küsi-s	ema	käest	raha,3SG	ask-PST.3SG	mother.GEN	from	money.PRT,S/he asked money from (his/her) mother,
UT008,Päikese tõustes sõitsime koju,,Päikese	tõus-tes	sõit-si-me	koju,sun.GEN	rise-CVB	drive-PST-1PL	home.ILL,When the sun had risen we drove home,
UT011-1,Anne ostis jalgratta,,Anne	ost-is	jalgratta,Anne	buy-PST.3SG	bicycle.GEN,Anne bought a bicycle,
UT011-2,Anne ostis jalgratast,,Anne	ost-is	jalgratas-t,Anne	buy-PST.3SG	bicycle-PRT,Anne was buying a bicycle,
UT012-1,Võta võti!,,Võta	võti!,take.IMP.2SG	key.NOM,Take the key,
UT012-2,Ära võta võtit!,,Ära	võta	võti-t!,NEG.IMP.2SG	take.IMP.2SG	key-PRT,Don’t take the key!,
UT013-1,Laual on leib,,Laua-l	on	leib,table-ADE	be.3SG	bread.NOM,there is the bread on the table,
UT013-2,Laual on leiba,,Laua-l	on	leiba,table-ADE	be.3SG	bread.PRT,There is some bread on the table,
UT014,Varas lõi naist ja jooksis ära,,Varas	lõ-i	nais-t	ja	jooks-is	ära,thief.NOM	hit-PST.3SG	woman-PRT	and	run-PST.3SG	away,The thief hit the woman and ran away,
UT017,hüplema,,hüp-le-ma,jump-FRQ-SUP,to jump repeatedly,
UT018,Euroopas on toimumas suured muutused,,Euroopa-s	on	toimu-ma-s	suure-d	muutuse-d,Europe-INE	be.3SG	take_place-SUP-INE	big-PL	change-PL,"In Europe, big changes are taking place",
UT019,Ma toon raamatu varsti tagasi,,Ma	too-n	raamatu	varsti	tagasi,1SG	bring-1SG	book.GEN	soon	back,I'll bring back the book soon,
UT020,Rong on väljumas,,Rong	on	välju-ma-s,train	be.3SG	leave-SUP-INE,The train is about to leave,
UT021,"Kui ma saabusin, oli ta juba lahkunud",,"Kui	ma	saabu-si-n,	ol-i	ta	juba	lahku-nud",when	1SG	arrive-PST-1SG	be-PST.3SG	3SG	already	leave-ACT.PST.PTCP,"When I arrived, s/he had already left",
UT026,"Ma elaksin maal, kui saaksin",,"Ma	ela-ksi-n	maa-l,	kui	saa-ksi-n",1SG	live-COND-1SG	country_side-ADE	if	can-COND-1SG,I would live in the countryside if I could,
UT027,"Kui oleksid küpsetanud koogi, sööksin selle ära",,"Kui	ole-ksi-d	küpseta-nud	koogi,	söö-ksi-n	selle	ära",if	be-COND-2SG	bake-ACT.PST.PTCP	cake.GEN	eat-COND-1SG	it-GEN	away,"If you had baked a cake, I would eat it",
UT031,Ta tulgu,,Ta	tul-gu,3SG	come-JUSS,Let him/her come,
UT032,"Ta ütles, et ma mingu ära",,"Ta	ütles,	et	ma	min-gu	ära",3SG	say-PST.3SG	that	1SG	go-JUSS	away,S/he said that I should go away,
UT039,Tahavad mind sõjaväkke võtta,,Taha-vad	min-d	sõjaväkke	võtta,want-3PL	1SG-PRT	army.ILL	take.INF,They want to take me to the army,
UT040,"Kui maksad makse, siis tunned end kindlamini",,"Kui	maksad	makse,	siis	tunned	end	kindlamini",if	pay-2SG	tax.PL.PRT	then	feel-2SG	yourself.PRT	more_securely,If one pays taxes one can feel oneself more securely,
UT042,Ta olla kodus,,Ta	olla	kodu-s,s/he	be-INF	home-INE,3SG is said to be at home,
UT043,"Lähen Ungarisse, et õppida ungari keelt",,"Lähe-n	Ungari-sse,	et	õppi-da	ungari	keel-t",go-1SG	Hungary-ILL	that	study-INF	Hungarian.GEN	language-PRT,I’m going to Hungary in order to study Hungarian,
UT044,Koidab,,Koida-b,dawn-3SG,It is dawning,
UT045,Ta on õpetaja,,Ta on õpetaja,3SG	be.3SG	teacher,S/he is a teacher,
UT046,Ta oli õpetaja,,Ta	ol-i	õpetaja,3SG	be-PST.3SG	teacher,S/he is a teacher,
UT048-1,kass ja koer,,kass	ja	koer,cat	and	dog,a cat and a dog,
UT048-2,Nad tantsivad ja laulavad,,Nad	tantsi-vad	ja	laula-vad,they	dance-3PL	and	sing-3PL,They are dancing and singing,
UT050,ma loen : ma ei loe,,ma	loe-n	:	ma	ei	loe,1SG	read-1SG	:	1SG	NEG	read.CNG,I don’t read,
UT052,Soovitan sul mitte muretseda,,Soovita-n	su-l	mitte	muretse-da,advise-1SG	2SG-ADE	not	worry-INF,I advise you not to worry,
UT053,lõpetamata töö,,lõpeta-ma-ta	töö,finish-SUP-ABE	work,unfinished work,
UT054-1,Siin elatakse hästi,,Siin	ela-takse	hästi,here	live-IPS.PRS	well,People live well here (lit. 'It is lived well here'),
UT054-2,Kuulatakse muusikat,,Kuula-takse	muusika-t,listen-IPS.PRS	music-PRT,The	music	is	being	listened,
UT055-1,lugev poiss,,luge-v	poiss,read-ACT.PST.PTCP,A boy who is reading,
UT055-2,loetud kiri,,loe-tud	kiri,read-PASS.PST.PTCP	letter,A letter that has been read,
UT062,magavatelt sõpradelt,,maga-va-te-lt	sõpra-de-lt,sleep-ACT.PRS.PTCP-PL-ABL	friend-PL-ABL,from sleeping friends,
UT065,"Lõpetanud lugemise, pani ta raamatu ära",,"Lõpetanud	lugemise,	pani	ta	raamatu	ära",finish-ACT.PST.PTCP	reading.GEN	put-PST.3SG	3SG	book.GEN	away,"Having finished reading, s/he put the book away",
UT067,Ära sõpru unusta!,,Ära	sõpru	unusta!,NEG.IMP.2SG	friend.PL.PRT	forget.IMP.2SG,Don’t forget friends,
UT068-1,maha lööma,,maha	löö-ma,down	kill-SUP,to kill,
UT068-2,ma löön ta maha,,ma	löö-n	ta	maha,I	hit-1SG	s/he.gen	down,I'll kill him/her,
UT071,poisi pesemine,,poisi	pese-mine,boy.GEN	wash-NMLZ,"washing of the boy, washing the boy",
UT071,poisi tuba,,poisi	tuba,boy.GEN	room,the boy's room,
UT072-1,luuletuse kirjutamine,,luuletuse	kirjutamine,poem.GEN	writing,the writing of the poem,
UT072-2,kirjutan luuletuse,,kirjuta-n	luuletuse,write-1SG	poem.GEN,I'll write a poem,
UT073,Poisid on pikad,,Poisi-d	on	pika-d,boy-PL	be.3PL	tall-PL,The boys are tall,
UT074,kaunis : kaunim : kauneim,,kaunis	:	kauni-m	:	kaune-im,beautiful	:	beautiful-COMP	:	beautiful-SPRL,beautiful : more beautiful : the most beautiful,
UT076,laua peale : peal : pealt,,laua	pea-le	:	pea-l	:	pea-lt,table.GEN	on-ALL	:	on-ADE	:	on-ABL,onto the table : on the table : from top of the table,
UT079,üks õpik : kaks õpikut,,üks	õpik	:	kaks	õpiku-t,one.NOM	textbook.NOM	:	two.NOM	textbook-PRT,one textbook : two textbooks,
UT083-1,reedeni,,reede-ni,Friday-TERM,until Friday,
UT083-2,raudteejaamani,,raudteejaama-ni,railway_station-TERM,until the railway station,
UT084,käekotita,,käekoti-ta,handbag-ABE,without a handbag,
UT086,turule,,turu-le,market-ALL,to the market,
UT087,turul,,turu-l,market-ADE,on the market,
UT088,turult,,turu-lt,market-ABL,from the market,
UT093-1,lusikaga,,lusika-ga,spoon-COM,with a spoon,
UT093-2,lapsega,,lapse-ga,child-COM,with a child,
UT095,Ta õppis õpetajaks,,Ta	õppi-s	õpetaja-ks,3SG	study-PST.3SG	teacher-TRA,She studied to become a teacher,
UT096,Ta töötab õpetajana,,Ta	tööta-b	õpetaja-na,3SG	work-3SG	teacher-ESS,S/he works as a teacher,
UT107,"koer, kes jooksis ära",,"koer,	kes	jooks-is	ära",dog	who	run-PST.3SG	away,dog who ran away,
UT109-1,see teab kõike,,see	teab	kõike,it	know-3SG	everything.PRT,S/he knows everything,
UT109-2,"Mari lõi Jürit, sest see oli teda solvanud",,"Mari	lõ-i	Jüri-t,	sest	see	oli	te-da	solva-nud",Mari	hit-PST.3SG	Jüri-PRT	because	it	be-PST.3SG	s/he-PRT	insult-ACT.PST.PTCP,Mari hit Jüri because he had insulted her,
UT111,laudadele,,lauda-de-le,table-PL-ALL,onto the tables,
UT112-1,onu,,,,mother's brother,
UT112-2,lell,,,,father's borther,
UT116-1,kana ,ˈka.naˑ,,hen.GEN.SG,,
UT116-2,kanna ,ˈkan.na,,heel.GEN.SG,,
UT117-1,tuli ,ˈtu.lʲiˑ,,,fire,
UT117-2,tuuli ,ˈtuːː.lʲi,,wind.PRT.PL,,
UT119-1,lolli ,ˈlolʲ.lʲi,,stupid.GEN.SG,,
UT119-2,lolli ,ˈlolʲː.lʲi,,stupid.PRT.SG,,
UT120-1,silma ,ˈsil.ma,,eye.GEN.SG,,
UT120-2,silma ,ˈsilː.ma,,eye.PRT.SG,,
UT121,jooksev ,ˈjoːːk.sev,,run.ACT.PRS.PTCP,,
UT122,kana ,ˈka.naˑ,,,hen,
UT124,lauljanna ,ˈlauːlʲ.ˌjan.na,,,female singer,
UT125,kana ,ˈka.naˑ,,,hen,
UT131,laul ,lauːl,,,"song, singing",
UT132,toad ,toaːt,,,rooms,
UT135,küla ,ˈky.laˑ,,,village,
UT136,öö ,øː,,,night,
UT138,õde ,ˈɤ.deˑ,,,sister,
UT140-1,käre ,ˈkæ.reˑ,,,severe,
UT140-2,kere ,ˈke.re ˑ,,,body,
UT141,krigisema ,ˈkri.kiˑ.ˌse.ma,,screech.INF,,
UT143,värske ,ˈværsk.ke,,,fresh,
UT144,värske ,ˈværsk.ke,,,fresh,
UT145,järsk ,jærsk,,,"steep, abrupt",
UT146-1,hall´ ,halʲː,,,grey,
UT146-2,hall ,halː,,,frost,
UT159,raha ,ˈra.haˑ,,,money,
UT165-1,pada ,ˈpa.taˑ,,,pot,
UT165-2,pajad ,ˈpa.jat,,,pots,
UT166-1,sukka ,ˈsukː.ka,,stocking.PRT.SG,,
UT166-2,sukas ,ˈsu.kat,,stocking.NOM.PL,,
